,INPUT:id,OUTPUT:result,latex
0,440,омега равно два пи эф,\omega =2\pi f
1,441,игрек в степени ай запятая джей,"y_{i,j}"
2,442,скобка открывается а от нулевой степени до а энной степени скобка закрывается,"(a_{0},a_{1},...a_{N})"
3,443,дельта тэ равно тэ в степени и минус тэ в степени и минус один,\Delta t=t_{i}-t_{i-1}
4,444,эр принадлежит ку,r\in \mathbb {Q} 
5,445,е скобка открывается пэ скобка закрывается,E(P)
6,446,икс скобка открывается тэ скобка закрывается,x(\tau )
7,447,лямбда ,\lambda 
8,448,пи в степени вэ точка,\pi _{v}.
9,449,абсолютная величина точки в степени вэ,|\cdot |_{v}
10,680,пи икс,p_{x}
11,681,зе,z
12,682,эф равно эм а запятая ,"\mathbf {F} =m\mathbf {a} ,"
13,683,ка два,k_{2}
14,684,икс плюс икс плюс многоточие плюс икс,x+x+\cdots +x
15,685,пи,{\mathcal {P}}
16,686,а примерно эр,A\subseteq \mathbb {R} 
17,687,си же запятая ,"\mathbb {C} ^{n},"
18,688,эн равно один,n=1
19,689,а тэ равно эр а запятая ,a_{t}=r\alpha .
20,240,вэ  в и,\mathbf {V} _{i}
21,241,эф от икс дэ эл,(F)X_{d}(L)
22,242,предел джи от икс равно бэ икс стремится к а,\lim _{x\to a}g(x)=b
23,243,эм равно два три,"m=2,3"
24,244,эм умножить на эн,mn
25,245,единица принадлежит к ка икс вэ,1\in K_{v}^{\times }
26,246,икс принадлежит к ка икс вэ,"x\in K_{v}^{\times },"
27,247,множество е ка  ка принадлежит к зэд,\{e_{k}\mid k\in Z\}
28,248,производная от икс равно производная от икс,"F\,'(x)=G\,'(x)"
29,249,ноль целых девятьсот девяносто девять тысячных равно единице,"0.999\ldots =1,"
30,700,джи в степени,{\widehat {G}}.
31,701,зэд от нуля равно пэ ка разделить на а,Z_{0}={\frac {\rho c}{A}}.
32,702,эн принадлежит к множеству натуральных чисел,n\in \mathbb {N} .
33,703,множество бэ нулевое бэ один бэ два,"(b_{0},b_{1},b_{2},\ldots )"
34,704,и пэ тэ кси ти игрек эл е примерно равно,\scriptstyle \approx 
35,705,джи эл от двух,\operatorname {GL} (2)
