rus,latex
логарифм а по основанию а,log_{a}{a}
а плюс а,a + a
а минус а,a - a
а умножить на а,a a
а разделить на а,a / a
а а,a a
предел а при а стремящийся к а,\lim_{a	oa}{a}
произведение а от а равно а до а,\prod_{a=a}^{a} a
сумма а от а равно а до а,\sum_{a=a}^{a} a
интеграл а от а до а по дэ а,"\int_{a}^{a} a \,da"
а в степени а,a^a
а квадрат,a^2
а куб,a^3
а в а степени,a^a
корень из а,\sqrt{a}
дробь а разделить на а,\frac{a}{a}
синус а,\sin{a}
косинус а,\cos{a}
тангенс а,	g{a}
котангенс а,\ctg{a}
секанс а,\sec{a}
косеканс а,\cosec{a}
а,a
логарифм бэ по основанию бэ,log_{b}{b}
бэ плюс бэ,b + b
бэ минус бэ,b - b
бэ умножить на бэ,b b
бэ разделить на бэ,b / b
бэ бэ,b b
предел бэ при бэ стремящийся к бэ,\lim_{b	ob}{b}
произведение бэ от бэ равно бэ до бэ,\prod_{b=b}^{b} b
сумма бэ от бэ равно бэ до бэ,\sum_{b=b}^{b} b
интеграл бэ от бэ до бэ по дэ бэ,"\int_{b}^{b} b \,db"
бэ в степени бэ,b^b
бэ квадрат,b^2
бэ куб,b^3
бэ в бэ степени,b^b
корень из бэ,\sqrt{b}
дробь бэ разделить на бэ,\frac{b}{b}
синус бэ,\sin{b}
косинус бэ,\cos{b}
тангенс бэ,	g{b}
котангенс бэ,\ctg{b}
секанс бэ,\sec{b}
косеканс бэ,\cosec{b}
бэ,b
логарифм цэ по основанию цэ,log_{c}{c}
цэ плюс цэ,c + c
цэ минус цэ,c - c
цэ умножить на цэ,c c
цэ разделить на цэ,c / c
цэ цэ,c c
предел цэ при цэ стремящийся к цэ,\lim_{c	oc}{c}
произведение цэ от цэ равно цэ до цэ,\prod_{c=c}^{c} c
сумма цэ от цэ равно цэ до цэ,\sum_{c=c}^{c} c
интеграл цэ от цэ до цэ по дэ цэ,"\int_{c}^{c} c \,dc"
цэ в степени цэ,c^c
цэ квадрат,c^2
цэ куб,c^3
цэ в цэ степени,c^c
корень из цэ,\sqrt{c}
дробь цэ разделить на цэ,\frac{c}{c}
синус цэ,\sin{c}
косинус цэ,\cos{c}
тангенс цэ,	g{c}
котангенс цэ,\ctg{c}
секанс цэ,\sec{c}
косеканс цэ,\cosec{c}
цэ,c
логарифм дэ по основанию дэ,log_{d}{d}
дэ плюс дэ,d + d
дэ минус дэ,d - d
дэ умножить на дэ,d d
дэ разделить на дэ,d / d
дэ дэ,d d
предел дэ при дэ стремящийся к дэ,\lim_{d	od}{d}
произведение дэ от дэ равно дэ до дэ,\prod_{d=d}^{d} d
сумма дэ от дэ равно дэ до дэ,\sum_{d=d}^{d} d
интеграл дэ от дэ до дэ по дэ дэ,"\int_{d}^{d} d \,dd"
дэ в степени дэ,d^d
дэ квадрат,d^2
дэ куб,d^3
дэ в дэ степени,d^d
корень из дэ,\sqrt{d}
дробь дэ разделить на дэ,\frac{d}{d}
синус дэ,\sin{d}
косинус дэ,\cos{d}
тангенс дэ,	g{d}
котангенс дэ,\ctg{d}
секанс дэ,\sec{d}
косеканс дэ,\cosec{d}
дэ,d
логарифм е по основанию е,log_{e}{e}
е плюс е,e + e
е минус е,e - e
е умножить на е,e e
е разделить на е,e / e
е е,e e
предел е при е стремящийся к е,\lim_{e	oe}{e}
произведение е от е равно е до е,\prod_{e=e}^{e} e
сумма е от е равно е до е,\sum_{e=e}^{e} e
интеграл е от е до е по дэ е,"\int_{e}^{e} e \,de"
е в степени е,e^e
е квадрат,e^2
е куб,e^3
е в е степени,e^e
корень из е,\sqrt{e}
дробь е разделить на е,\frac{e}{e}
синус е,\sin{e}
косинус е,\cos{e}
тангенс е,	g{e}
котангенс е,\ctg{e}
секанс е,\sec{e}
косеканс е,\cosec{e}
е,e
логарифм эф по основанию эф,log_{f}{f}
эф плюс эф,f + f
эф минус эф,f - f
эф умножить на эф,f f
эф разделить на эф,f / f
