,id,latex,path
0,0,\sin(x)-\pi ,/latexf/short/0.png
1,1,s=1+2s.,/latexf/short/1.png
2,2,|0|=0,/latexf/short/2.png
3,3,\{a_{n}\},/latexf/short/3.png
4,4,f(O)\in {\mathcal {B}},/latexf/short/4.png
5,5,\hbar ,/latexf/short/5.png
6,6,p^{2},/latexf/short/6.png
7,7,\operatorname {inv} (x),/latexf/short/7.png
8,8,\theta ^{2},/latexf/short/8.png
9,9,"~(k_{x},k_{y})",/latexf/short/9.png
10,10,s=-1.,/latexf/short/10.png
11,11,\mathbb {Z} _{15},/latexf/short/11.png
12,12,"n\geq m\Leftrightarrow m|n,",/latexf/short/12.png
13,13,\mathbf {v} _{0},/latexf/short/13.png
14,14,"v=r\omega ,",/latexf/short/14.png
15,15,"t \tan x\,dx",/latexf/short/15.png
16,16,m (a_{n}+|a_{n}|),/latexf/short/16.png
17,17,\mathbb {A} _{A}^{\times }.,/latexf/short/17.png
18,18,E\subseteq K\subseteq F,/latexf/short/18.png
19,19,v\neq v_{0},/latexf/short/19.png
20,20,(a).,/latexf/short/20.png
21,21,v(\alpha '_{v})=0,/latexf/short/21.png
22,22,t=1,/latexf/short/22.png
23,23,F_{1},/latexf/short/23.png
24,24,G=0,/latexf/short/24.png
25,25,O_{v},/latexf/short/25.png
26,26,|x|=-x,/latexf/short/26.png
27,27,2\pi r,/latexf/short/27.png
28,28,"A\times A,",/latexf/short/28.png
29,29,f(k_{1}+k_{2}),/latexf/short/29.png
30,30,"\{a'\}=M\{a\}\oplus \{v\},",/latexf/short/30.png
31,31,"f(x,y)={\frac {x+y}{2}},",/latexf/short/31.png
32,32,\alpha _{v}\times \alpha _{v},/latexf/short/32.png
33,33,n_{i}>1.,/latexf/short/33.png
34,34,E^{\star },/latexf/short/34.png
35,35,0.111\ldots ,/latexf/short/35.png
36,36,"a,b\in K",/latexf/short/36.png
37,37,"\pi r(r+l)\,\!",/latexf/short/37.png
38,38,\left|f'(t)\right|,/latexf/short/38.png
39,39,\operatorname {Re} \alpha >0,/latexf/short/39.png
40,40,XYXYX,/latexf/short/40.png
41,41,{\frac {1}{2^{n}}},/latexf/short/41.png
42,42,F(x)-G(x)=C,/latexf/short/42.png
43,43,a\cdot b=b\cdot a=e,/latexf/short/43.png
44,44,1,/latexf/short/44.png
45,45,c(x)=1+xc(x)^{2};,/latexf/short/45.png
46,46,\mathbb {Q} ({\sqrt {d}}),/latexf/short/46.png
47,47,X_{i}.,/latexf/short/47.png
48,48,"\int _{a}^{b}\cdots \,dx",/latexf/short/48.png
49,49,m _{b=1}^{B}I_{b},/latexf/short/49.png
50,50,t,/latexf/short/50.png
51,51,\operatorname {Cl} _{K},/latexf/short/51.png
52,52,"\varphi :X\mapsto y,",/latexf/short/52.png
53,53,"a,b,c\rightarrow 0",/latexf/short/53.png
54,54,L_{v},/latexf/short/54.png
55,55,t_{j},/latexf/short/55.png
56,56,aRb\Leftrightarrow bRa,/latexf/short/56.png
57,57,"i=1,\ldots ,k,",/latexf/short/57.png
58,58,\mathbf {r} _{i},/latexf/short/58.png
59,59,"A,B",/latexf/short/59.png
60,60,"z(t)=r(t)+ix(t),",/latexf/short/60.png
61,61,p_{z},/latexf/short/61.png
62,62,\theta ={\frac {2\pi r}{r}},/latexf/short/62.png
63,63,{\mathcal {L}},/latexf/short/63.png
64,64,P=P_{\infty },/latexf/short/64.png
65,65,\lim _{x\to c}f(x)=f(c).,/latexf/short/65.png
66,66,"\beta \in U\cap \mathbb {Q} ,",/latexf/short/66.png
67,67,"C>1,",/latexf/short/67.png
68,68,=r\omega ,/latexf/short/68.png
69,69,m _{j=1}^{C}\tau _{j}=0,/latexf/short/69.png
70,70,f(x)=2x+1,/latexf/short/70.png
71,71,"1,2,3,6.",/latexf/short/71.png
72,72,x^{-1},/latexf/short/72.png
73,73,v_{\perp },/latexf/short/73.png
74,74,L/K.,/latexf/short/74.png
75,75,"p(t)=[r*v](t),",/latexf/short/75.png
76,76,{\frac {1}{2}},/latexf/short/76.png
77,77,"x={\frac {2\,t}{1+t^{2}}}",/latexf/short/77.png
78,78,"\int _{a}^{b}f(x)\,dx.",/latexf/short/78.png
79,79,\mathbf {R} ,/latexf/short/79.png
80,80,C=\pi d.,/latexf/short/80.png
81,81,t.,/latexf/short/81.png
82,82,R,/latexf/short/82.png
83,83,\times ,/latexf/short/83.png
84,84,"1,2,3,6,9,18,27,54",/latexf/short/84.png
85,85,"4\pi A\leq L^{2},",/latexf/short/85.png
86,86,|a_{p}|_{p}=1,/latexf/short/86.png
87,87,"nx_{2}=0,",/latexf/short/87.png
88,88,"z=f(x,y),",/latexf/short/88.png
89,89,u^{1}=u,/latexf/short/89.png
90,90,K\subseteq \mathbb {C} ,/latexf/short/90.png
91,91,2k_{y},/latexf/short/91.png
92,92,x^{yz}=x^{(yz)},/latexf/short/92.png
93,93,C,/latexf/short/93.png
94,94,"(\mathbb {R} ,+)",/latexf/short/94.png
95,95,C_{K}\ =\ I_{K}/K^{\times }.,/latexf/short/95.png
96,96,L_{eq}=L+0.85d,/latexf/short/96.png
97,97,\mathbb {Z} /n\mathbb {Z} ,/latexf/short/97.png
98,98,k=2\pi f/v,/latexf/short/98.png
99,99,m_{i},/latexf/short/99.png
100,100,(f+g)(x)=f(x)+g(x),/latexf/short/100.png
101,101,v<\infty .,/latexf/short/101.png
102,102,"{\hat {o}}(x,y)",/latexf/short/102.png
103,103,"\iota ,R^{\times }",/latexf/short/103.png
104,104,"a+\max(b,c)=\max(a+b,a+c).",/latexf/short/104.png
105,105,"s(x,y)",/latexf/short/105.png
106,106,p\in \mathbf {Z} ,/latexf/short/106.png
107,107,"I_{K,S}",/latexf/short/107.png
108,108,i+{\frac {b}{2}}-1,/latexf/short/108.png
109,109,r,/latexf/short/109.png
110,110,k,/latexf/short/110.png
111,111,|f(x)-L|<\varepsilon ,/latexf/short/111.png
112,112,*,/latexf/short/112.png
113,113,\mathbb {Q} /\mathbb {Z} ,/latexf/short/113.png
114,114,a>0,/latexf/short/114.png
115,115,a_{p}\in \mathbb {Z} _{p},/latexf/short/115.png
116,116,\mu ^{\lambda }=\kappa ,/latexf/short/116.png
117,117,y=f(t).,/latexf/short/117.png
118,118,l\in \mathbb {Z} ,/latexf/short/118.png
119,119,g'(x)\neq 0,/latexf/short/119.png
120,120,\Delta t,/latexf/short/120.png
121,121,\mathbb {A} _{E}.,/latexf/short/121.png
122,122,\div ,/latexf/short/122.png
123,123,\delta ,/latexf/short/123.png
124,124,x^{3},/latexf/short/124.png
125,125,{\frac {\sqrt {n}}{2}},/latexf/short/125.png
126,126,I_{K}\to I_{L},/latexf/short/126.png
127,127,K_{v}^{\times },/latexf/short/127.png
128,128,\lim _{n\to \infty }a_{n}=0,/latexf/short/128.png
129,129,m-n,/latexf/short/129.png
130,130,"\operatorname {lcm} (m,n)",/latexf/short/130.png
131,131,a=0,/latexf/short/131.png
132,132,a\in A,/latexf/short/132.png
133,133,"\lim _{x\to -\infty }f(x)=L,",/latexf/short/133.png
134,134,f-g,/latexf/short/134.png
135,135,p.,/latexf/short/135.png
136,136,u\in U,/latexf/short/136.png
137,137,prod _{p}p^{b_{p}},/latexf/short/137.png
138,138,\beta _{v}=\lambda ^{-1},/latexf/short/138.png
139,139,p_{y},/latexf/short/139.png
140,140,O_{v}:,/latexf/short/140.png
141,141,|a_{n+1}|\leq |a_{n}|,/latexf/short/141.png
142,142,n\neq 0.,/latexf/short/142.png
143,143,[K:\mathbb {Q} ]=r+2s.,/latexf/short/143.png
144,144,\left\vert c_{n}\right\vert ,/latexf/short/144.png
145,145,10+5i,/latexf/short/145.png
146,146,\mathbf {v} _{i},/latexf/short/146.png
147,147,P\supset P_{\infty },/latexf/short/147.png
148,148,q\neq p,/latexf/short/148.png
149,149,\mathbf {x} ,/latexf/short/149.png
150,150,\sin a\sin b,/latexf/short/150.png
151,151,"S,I_{K,S}",/latexf/short/151.png
152,152,v\notin P.,/latexf/short/152.png
153,153,-4b)+b=180,/latexf/short/153.png
154,154,\scriptstyle b,/latexf/short/154.png
155,155,"\langle \cdot ,\cdot \rangle ",/latexf/short/155.png
156,156,\pm 1,/latexf/short/156.png
157,157,\scriptstyle 2b,/latexf/short/157.png
158,158,-n,/latexf/short/158.png
159,159,x_{i}^{n_{i}}\in F_{i-1},/latexf/short/159.png
160,160,x=-1,/latexf/short/160.png
161,161,\mathbb {A} _{K},/latexf/short/161.png
162,162,\mathbb {Q} (\theta ),/latexf/short/162.png
163,163,s=\theta ,/latexf/short/163.png
164,164,"1,x,x^{2},x^{3},\ldots ",/latexf/short/164.png
165,165,k_{T}<k,/latexf/short/165.png
